Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:24.1,"urn:cite:hmt:vaimg.VA310VN-0812@0.409,0.5913,0.456,0.1255"
urn:cts:greekLit:tlg0012.tlg001.msA:24.2,"urn:cite:hmt:vaimg.VA310VN-0812@0.49,0.6461,0.384,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:24.3,"urn:cite:hmt:vaimg.VA310VN-0812@0.487,0.6642,0.405,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:24.4,"urn:cite:hmt:vaimg.VA310VN-0812@0.48,0.6829,0.413,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:24.5,"urn:cite:hmt:vaimg.VA311RN-0481@0.228,0.1908,0.397,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:24.6,"urn:cite:hmt:vaimg.VA311RN-0481@0.226,0.2156,0.404,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:24.7,"urn:cite:hmt:vaimg.VA311RN-0481@0.225,0.2337,0.41,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.8,"urn:cite:hmt:vaimg.VA311RN-0481@0.22,0.2532,0.418,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.9,"urn:cite:hmt:vaimg.VA311RN-0481@0.22,0.2712,0.432,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.10,"urn:cite:hmt:vaimg.VA311RN-0481@0.217,0.2878,0.432,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.11,"urn:cite:hmt:vaimg.VA311RN-0481@0.217,0.3073,0.432,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.12,"urn:cite:hmt:vaimg.VA311RN-0481@0.216,0.3253,0.415,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:24.13,"urn:cite:hmt:vaimg.VA311RN-0481@0.215,0.3426,0.415,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:24.14,"urn:cite:hmt:vaimg.VA311RN-0481@0.222,0.3621,0.41,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.15,"urn:cite:hmt:vaimg.VA311RN-0481@0.218,0.3817,0.41,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:24.16,"urn:cite:hmt:vaimg.VA311RN-0481@0.217,0.4012,0.415,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:24.17,"urn:cite:hmt:vaimg.VA311RN-0481@0.222,0.4207,0.408,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:24.18,"urn:cite:hmt:vaimg.VA311RN-0481@0.221,0.4373,0.418,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:24.19,"urn:cite:hmt:vaimg.VA311RN-0481@0.219,0.4568,0.414,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:24.20,"urn:cite:hmt:vaimg.VA311RN-0481@0.219,0.4756,0.424,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:24.21,"urn:cite:hmt:vaimg.VA311RN-0481@0.218,0.4944,0.424,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:24.22,"urn:cite:hmt:vaimg.VA311RN-0481@0.214,0.5131,0.389,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:24.23,"urn:cite:hmt:vaimg.VA311RN-0481@0.216,0.5334,0.413,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:24.24,"urn:cite:hmt:vaimg.VA311RN-0481@0.219,0.5545,0.413,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:24.25,"urn:cite:hmt:vaimg.VA311RN-0481@0.221,0.571,0.418,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:24.26,"urn:cite:hmt:vaimg.VA311RN-0481@0.219,0.5913,0.387,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:24.27,"urn:cite:hmt:vaimg.VA311RN-0481@0.218,0.6078,0.397,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:24.28,"urn:cite:hmt:vaimg.VA311RN-0481@0.216,0.6304,0.423,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:24.29,"urn:cite:hmt:vaimg.VA311RN-0481@0.215,0.6484,0.396,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:24.30,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.31,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.32,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.33,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.34,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.35,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.36,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
urn:cts:greekLit:tlg0012.tlg001.msA:24.37,""
